id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
119,Nieuw-Koffiekamp,Nieuw Koffiekamp,,,Ndyuka,Suriname,Suriname River (lower reservoir area),Sarakreek,5.060,-55.020,high,Transmigration Ndyuka village founded 1964 after flooding of Koffiekamp by Brokopondo Reservoir; original Koffiekamp was federation of 3 Ndyuka settlements (Maipa-ondo of Misidjan lo 1793; Baka Mbuju Njanfai lo; Maria Hartmann mission 1851); pop. ~300-500; school; medical centre; electricity grid access; road connected; economy based on gold mining (Rosebel/Roma Pit area); MZ poli confirmed; patient base ~437; 1 GZA,Wikipedia (Nieuw-Koffiekamp),yes
120,Niki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
121,Njun Fri,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
122,Ofia olo,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; electricity: DEV,Planbureau Suriname Table 4 Marowijne 2013,no
123,Pai kampu,ApaiKampu,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
124,Pakirakondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; health post: HP; school: Pakirakondre (OS); electricity: DEV; water: DWV,Planbureau Suriname Table 4 Marowijne 2013,yes
125,Pakosi Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
126,Patamacca,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013; school: Patamacca (OS); electricity: MIJ; water: MIJ,Planbureau Suriname Table 4 Marowijne 2013,no
127,Pelgrimkondre,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,,,low,Ndyuka village; Marowijne District; Moengo resort; Planbureau 2013; health post: HP; school: Leonard Leitzel (Wesleyaan),Planbureau Suriname Table 4 Marowijne 2013,yes
128,Piere kondre,,,,Ndyuka,Suriname,Marowijne River,Marowijne — Albina,,,low,Ndyuka village; Marowijne District; Albina resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
129,Pikien Saniki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
130,Pikien Santi,Pikin Santi,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo,5.785,-54.371,high,Ndyuka village on Cottica River; Wanhatti resort; inhabited by Pinasi and Piika lo; settled early 19th century; attacked by Suriname National Army during Interior War; most residents fled to FG or Paramaribo; children bused to school at Tamarin; Wikipedia confirms distinct from Pikien Saniki (Tapanahony),Wikipedia (Pikin Santi) — GPS: 5.785°N 54.371°W,no
131,Pikien kondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
132,Pikienkondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.115104,-54.676016,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
133,Pina tjari mi,Pinatjaimi,Pinatyaimi,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,"Ndyuka village; Marowijne District; Wanhatti resort; Planbureau 2013; school: Dependance (RKBO); electricity: DEV; confirmed as Pinatjaimi/Pinatyaimi (Wikipedia) — Ndyuka village on Cottica River; name means ""poverty brought me here"" in Ndyuka; opposite village is Lantiwei",Planbureau Suriname Table 4 Marowijne 2013,no
134,Pipakondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; church: GB/VE,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
135,Pisjan,,,,Ndyuka,Suriname,Suriname River reservoir (Sarakreek),Sarakreek,5.055,-55.015,low,Ndyuka transmigration village; Sarakreek resort; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
136,Poeloegoedoe,Poeloegoeoe,,,Ndyuka,Suriname,Tapanahoni / Lawa confluence,Tapanahony,4.08,-54.980,high,Ndyuka village near confluence of Tapanahoni and Lawa rivers; strategic position; historically garrisoned by escaped slaves to guard against Aluku attacks; no school or clinic; named after the Poeloegoedoe Falls,Wikipedia (Poeloegoedoe),no
137,Poitekondre,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
138,Poketi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; electricity; church: Meth; airstrip: Poketie (irregular charter),Planbureau Suriname Table 3.1 Sipaliwini 2013,no
139,Powi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
140,Prodo kaba,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
141,Puketi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.82,-55.310,medium,Former hydroelectric power plant; ferry destination from Futupasi,Wikipedia (Dritabiki article),no
142,Pulugudu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
143,Rama,,,,Ndyuka,Suriname,Suriname River / Sarakreek area,Marchallkreek,5.09,-55.060,low,Ndyuka village in Marchallkreek resort; 1 kapitein; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
144,Ricanau mofo,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; Marowijne District; Moengo Tapoe resort; Planbureau 2013; health post: HP; Mapcarta confirms 7km north of Moengo on Cottica River,Planbureau Suriname Table 4 Marowijne 2013,yes
145,Saint-Jean-du-Maroni,Saint-Jean,,,Ndyuka,French Guiana,Maroni River (lower),Saint-Laurent-du-Maroni commune,5.40556,-54.07778,high,Village mainly inhabited by Ndyuka Maroons; on Maroni River near Saint-Laurent-du-Maroni,Grok / Wikipedia,no
146,Saje,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
147,Saliga Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
148,Salinkondre,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
149,Sanbendumi,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
150,Sangamasusa,Sangamangsoesa,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
151,Sannakampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
152,Saye,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.189228,-54.581912,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
153,Sikisani,,,,Ndyuka,Suriname,Marowijne / Lawa River,Marowijne,4.341854,-54.386099,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
154,Sooke Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
155,Tabiki hede,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
156,Tamarin,,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Ndyuka village; Marowijne District; Wanhatti resort; Planbureau 2013; school: Wanati (EBGS); electricity: DEV; water: DWV,Planbureau Suriname Table 4 Marowijne 2013,no
157,Tapontekampu,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
158,Telegi Kampu,,,,Ndyuka,Suriname,Patamacca Creek / Marowijne,Marowijne — Patamacca,,,low,Ndyuka village; Marowijne District; Patamacca resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
159,Tjon-tjon,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013; health post: HP,Planbureau Suriname Table 3.1 Sipaliwini 2013,yes
160,Tjubuka Pang,,,,Ndyuka,Suriname,Marowijne / Lawa River,Marowijne,4.230514,-54.391396,high,Ndyuka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
161,Tukopi,,,,Ndyuka,Suriname,Cottica River,Marowijne — Moengo Tapoe,,,low,Ndyuka village; Marowijne District; Moengo Tapoe resort; Planbureau 2013,Planbureau Suriname Table 4 Marowijne 2013,no
162,Vandaki,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
163,Visiti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
164,Wanfinga,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,,,low,Ndyuka village; Tapanahony resort; Planbureau 2013,Planbureau Suriname Table 3.1 Sipaliwini 2013,no
165,Wanhatti,,,,Ndyuka,Suriname,Cottica River,Marowijne — Wanhatti,,,low,Matawai village; Boven Saramacca resort; Planbureau 2013; NOTE: Ndyuka resort in Marowijne District — distinct from any Matawai Wanhatti,Planbureau Suriname Table 3.4 Sipaliwini 2013,no
166,Yawsa,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.88,-55.220,medium,Ndyuka village on Tapanahoni upstream of Moitaki and Gran Olo rapids,Wikipedia (Moitaki),no
167,Grand-Santi,Grand Santi,,,Ndyuka / Aluku / mixed,French Guiana,Maroni River,Grand-Santi commune,4.274247,-54.381747,high,Commune; formed from scission of Papaïchton 1993; largely Ndyuka and mixed bushinengue; GPS verified by Google Earth,Wikipedia / Cultural Survival,no
168,Balingsoela,,,,Ndyuka / Paramaka,Suriname,Marowijne / Lawa River,Pamacca / Tapanahony border,4.200,-54.600,medium,Eastern Maroon village (likely Ndyuka or Paramaka) with MZ health post on Marowijne river system; no individual Wikipedia article; confirmed by MZ clinic list; MZ poli confirmed; patient base ~835; 1 GZA; 1 assistants,Wikipedia (Medische Zending) — MZ map,yes
169,Phedra,,,,Ndyuka / Paramaka,Suriname,Marowijne / Lawa River area,Pamacca / Marowijne,4.100,-54.650,medium,Eastern Maroon village (Ndyuka or Paramaka) with MZ health post; no individual Wikipedia article; confirmed by MZ clinic list; MZ poli confirmed; patient base ~105; pharmacy,Wikipedia (Medische Zending) — MZ map,yes
170,Stoelmanseiland,Stoelie,,,Ndyuka / Paramaka,Suriname,Marowijne River (confluence Tapanahoni-Lawa),Pamacca,4.352817,-54.4206,high,Island village at Tapanahoni-Lawa confluence; Jungle Commando HQ 1986-92; hospital (Johannes King); airstrip: Stoelmanseiland (regular scheduled); Wikipedia confirms village in Paramacca resort; non-tribal administrative hub at confluence of Tapanahony and Lawa rivers; Jungle Commando HQ during Interior War; Johannes King Hospital (MZ); named after Philip Samuel Stoelman 1791; GPS verified by Google Earth,Wikipedia (Stoelmanseiland),yes
171,Tapoeripa,,,,Ndyuka / Saramaka,Suriname,Suriname River (reservoir transition zone),Brokopondo / Sarakreek,5.080,-55.040,medium,Interior village with MZ health post in Brokopondo-Sarakreek zone; likely Ndyuka or Saramaka transmigration village; no individual Wikipedia article; confirmed by MZ clinic list,Wikipedia (Medische Zending) — MZ map,yes
172,Victoria,,,,Ndyuka / Saramaka,Suriname,Suriname River reservoir area,Victoria,5.02,-55.100,low,Interior village with GLO school (OS) 11 teachers 134 pupils; Victoria resort Brokopondo District; Planbureau 2013; MZ clinic confirmed in MZ list; MZ poli confirmed; patient base ~471; 1 GZA,Planbureau Suriname Table 4 Brokopondo 2013 / MZ list,yes
173,Albina,,,,Ndyuka / mixed,Suriname,Marowijne River coast,Marowijne,5.501309,-54.06108,high,Ndyuka / mixed village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
174,Abetredjuka,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
175,Akaati,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.37,-54.450,low,Small/possibly uninhabited; most residents moved to mainland road,Schalkwijk / Pamaka history paper,no
176,Akati,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
177,Atemsa,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
178,Babel,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,5.039411,-54.445404,high,Paramaka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
179,Bandatabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
180,Bethel,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013; church: VE,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
181,Bonidoro,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
182,Dutabikimofo,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
183,Gaacaba,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,4.455168,-54.441543,high,Paramaka village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
184,Gakaba,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.39,-54.420,medium,Has school; one of 13 Paramaka resort villages; airstrip: Gakaba (regular scheduled),Wikipedia (Pamacca),yes
185,Langatabiki,Langatabbetje,Long Island,,Paramaka,Suriname,Marowijne River,Paramacca,4.991311,-54.441541,high,Granman residence of Paramaka; founded 1879; airstrip; solar power since 2016; clinic; school; GPS verified by Google Earth,Wikipedia (Langatabiki),yes
186,Lokaloka,Loka,,,Paramaka,Suriname,Marowijne River,Paramacca,4.43,-54.370,high,Island village on Marowijne; ~200 residents; last village of Paramaka upstream; no clinic; dependent on Nason,Wikipedia (Lokaloka),no
187,Manlobi,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,4.257222,-54.520171,high,Village near Nason on Marowijne/Lawa river system; GPS verified by Google Earth,Google Earth KML — kwierenga,no
188,Nason,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.857828,-54.477309,high,Has clinic; school; serves as service hub for nearby Paramaka villages including Lokaloka; GPS verified by Google Earth,Wikipedia (Pamacca) / Lokaloka article,yes
189,Pakiratabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
190,Pikientabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
191,Pikintabiki,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.36,-54.460,low,Small/possibly uninhabited; most residents moved to mainland,Schalkwijk / Pamaka history paper,no
192,Providence,,,,Paramaka,French Guiana,Maroni River (FG side),Apatou commune,4.1,-54.350,medium,Single Paramaka village in French Guiana; on west bank of Maroni,Wikipedia (Paramaccan),no
193,Sebedoe Kondre,,,,Paramaka,Suriname,Marowijne River,Pamacca,5.15,-54.30,low,Paramaka village near Marowijne; coordinates approximate,Vetted CSV review 2026,no
194,Skintabiki,,,,Paramaka,Suriname,Marowijne / Lawa River,Pamacca,,,low,Paramaka village; Pamacca resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.2 Sipaliwini 2013,no
195,Snesiekondre,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.35,-54.490,medium,Administrative centre of Paramacca resort; road end village,Wikipedia (Pamacca),no
196,Abenaston,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.450841,-55.353377,high,Saramaka village on Upper Suriname River; GPS verified by Google Earth,Google Earth KML — kwierenga,no
197,Adawai,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.51,-55.690,medium,Village on Upper Suriname River; Malroseekondre listed nearby,Wikipedia (Upper Suriname River),no
198,Asidonhopo,Asidenhopo,,,Saramaka,Suriname,Pikin Rio (Upper Suriname tributary),Boven Suriname,3.76,-56.120,high,Current residence of the Saramaka paramount chief (gaanman); on Pikin Rio shortly before confluence with Gran Rio to form Upper Suriname River; gaanman Belfon Aboikoni died June 2014 here,Wikipedia (Asidonhopo) / Mapcarta,no
199,Asigron,,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.06,-55.030,low,Saramaka transmigration village; Centrum resort Brokopondo; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
200,Atjoni,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.83,-55.460,high,Jetty of Atjoni near Pokigron; departure point for river transport,Wikipedia (Upper Suriname River),no
201,Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.375094,-55.4014,high,Largest village of the Saramaka Maroons; accessible by boat from Pokigron or Laduani Airstrip; health centre located in adjacent village Laduani; GPS verified by Google Earth,Wikipedia (Aurora Suriname),no
202,Awaradam,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.15,-55.980,medium,Village on Upper Suriname; Sentiadam upstream,Wikipedia (Upper Suriname River),no
203,Bakaabooto,Bakaaboto,,,Saramaka,Suriname,Upper Suriname River (near reservoir),Boven Suriname,4.86,-55.470,medium,Village near Brokopondo Reservoir; road access junction,Wikipedia (Upper Suriname River),no
204,Begoon,,,,Saramaka,Suriname,Upper Suriname River (Gran Rio),Boven Suriname,3.72,-56.140,medium,Village in Gran Rio / Pikin Rio area; Ligorio and Moitori listed nearby,Wikipedia (Upper Suriname River),no
205,Bendekonde,Bendikwai,Bendikondre,,Saramaka,Suriname,Pikin Rio (Upper Suriname tributary),Boven Suriname,3.86,-56.140,medium,Village along Pikin Rio; Paanza rice ancestor shrine; annual harvest ceremony,Rice article / Wikipedia,no
206,Bendiwata,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.95,-56.060,medium,Village on Upper Suriname list; Kuututen listed nearby,Wikipedia (Upper Suriname River),no
207,Bierhoedoematoe,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.018,-55.175,low,Saramaka village near Brownsweg; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
208,Boslanti (Saramaka),Boslanti,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.05,-55.040,low,Saramaka transmigration village; Centrum resort Brokopondo; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
209,Botopasi,Boto-Pasi,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.220936,-55.443365,high,Saramaka village ~3.5km south of Pikin Slee; ~740 people (2001); school clinic church; served by Botopasi Airstrip alongside Djumu Goddo and Pikin Slee; airstrip also serves Goddo; GPS verified by Google Earth,Wikipedia (Pikin Slee / Mapcarta),yes
210,Dahome,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.64,-55.590,low,Village / rapid name on Upper Suriname,Wikipedia (Upper Suriname River),no
211,Dahomey,Dahome,,,Saramaka,Suriname,Gran Rio,Boven Suriname,4.050647,-55.442370,high,Saramaka village on Gran Rio; named after or near Dahome rapids; GPS verified by Google Earth,Google Earth KML — kwierenga,no
212,Dang,,,,Saramaka,Suriname,Gran Rio / Upper Suriname River,Boven Suriname,4.193784,-55.431652,high,Saramaka village on Gran Rio between Kambaloa and Malobi; GPS verified by Google Earth,Google Earth KML — kwierenga,no
213,Dangogo,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.87,-56.100,medium,Two villages (Dangogo 1 & 2) on Upper Suriname list; gran slee area,Wikipedia (Upper Suriname River),no
214,Danpaati,Dan,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.23,-55.900,medium,Village pair (Dan & Danpaati) on Upper Suriname; road access from Afobaka Road junction,Wikipedia (Upper Suriname River),no
215,Danta Bai,,,,Saramaka,Suriname,Upper Suriname River (near reservoir),Boven Suriname,4.85,-55.480,medium,Village near Brokopondo Reservoir accessible from Afobaka Road,Wikipedia (Upper Suriname River),no
216,Debike,Debikè,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.2,-55.960,medium,Medical post; village on Upper Suriname,Wikipedia (Upper Suriname River),no
217,Djankakondre,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.022,-55.168,low,Saramaka village near Brownsweg; 4 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
218,Djemongo,Nazaleti,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.37,-55.760,medium,Village pair on Upper Suriname list,Wikipedia (Upper Suriname River),no
219,Djumu,Djoemoe,,,Saramaka,Suriname,Gran Rio / Upper Suriname source,Boven Suriname,4.009547,-55.470898,high,Near Goddo; airstrip (Djoemoe Airstrip); source area of Upper Suriname; GPS verified by Google Earth,Wikipedia (Upper Suriname River),yes
220,Drepada,,,,Saramaka,Suriname,Suriname River reservoir (lower),Centrum,5.04,-55.050,low,Saramaka transmigration village; Centrum resort Brokopondo; Planbureau 2013; mentioned in context of Saramaka logging complaints (Adjako of Kayapaati/Drepada area),Planbureau Suriname Table 3 Brokopondo 2013,no
221,Ganze,Ganzee,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.02,-55.170,low,Saramaka village near Brownsweg; 3 basjas; ancestral village of Alida Dors (dancer/choreographer); original Ganzee submerged under Brokopondo Reservoir 1964; this is likely the post-dam settlement; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
222,Gingeston,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.477761,-55.359158,high,Saramaka village on Upper Suriname River between Pokigron and Jaw Jaw; GPS verified by Google Earth,Google Earth KML — kwierenga,no
223,Gingiston,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.46,-55.700,medium,"Village group area (Gingiston, Pambo Oko, Biudumatu) on Upper Suriname",Wikipedia (Upper Suriname River),no
224,Goddo,Godo,,,Saramaka,Suriname,Upper Suriname River (confluence Gran Rio/Pikin Rio),Boven Suriname,4.028284,-55.466058,high,Village at source of Upper Suriname River; confluence of Gran Rio and Pikin Rio; Tapawatrasula rapids nearby; GPS verified by Google Earth,Wikipedia (Upper Suriname River),no
225,Goejaba,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.313288,-55.411595,high,Saramaka village 8km northeast of Pikin Slee; named in MZ ENT report alongside Soekoenale Jaw Jaw Pokigron Duatra as villages served by Ladoani clinic; GPS verified by Google Earth,Mapcarta (Pikin Slee) / MZ news,yes
226,Gran Slee,Akwaukondre,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.9,-56.060,medium,Village cluster on Upper Suriname; Bofokule and Apiapaati nearby,Wikipedia (Upper Suriname River),no
227,Gujaba,Beguba,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.54,-55.660,medium,Village pair on Upper Suriname list,Wikipedia (Upper Suriname River),no
228,Gunsi,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.42,-55.720,medium,"Village cluster area (Gunsi, Ferulasi, Tang Luku, Anaula, Kninipaati)",Wikipedia (Upper Suriname River),no
229,Heikoenoenoe,Heikununu,Heikoenenoe,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.05,-56.050,medium,Medical post; village / rapid on Upper Suriname,Wikipedia (Upper Suriname River),yes
230,Isadou,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.6,-55.610,medium,Village on Upper Suriname River; listed near Jawjaw,Wikipedia (Upper Suriname River),no
231,Jaw Jaw,Jawjaw,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.424041,-55.373906,high,Saramaka village on Upper Suriname River; MZ clinic confirmed; named in MZ ENT screening report (2016) alongside Goejaba Soekoenale Pokigron Duatra served by Ladoani clinic; GPS verified by Google Earth,Wikipedia (Medische Zending) / MZ news,yes
232,Kaajapati,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.5,-55.710,medium,Village on Upper Suriname; Salubanga listed nearby,Wikipedia (Upper Suriname River),no
233,Kadjoe,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.016,-55.172,low,Saramaka village near Brownsweg; 11 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
234,Kajana,Cajana,Cayana,Kayana,Saramaka,Suriname,Gran Rio (Upper Suriname headwater),Boven Suriname,3.901,-55.573,high,Saramaka village on Gran Rio; population ~200; first-aid medical centre; primary school; kindergarten; Radio Thijs radio station; served by Cayana Airstrip; residents call themselves Kadosi-nengre after plantation Cardoso,Wikipedia (Kajana) — GPS: 3.90056°N 55.57250°W,yes
235,Kambaloa,Kambaloea,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.205959,-55.434172,high,Saramaka village with MZ health post on Upper Suriname River; no individual Wikipedia article; confirmed by MZ clinic list; GPS verified by Google Earth,Wikipedia (Medische Zending) — MZ map,yes
236,Kampu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.83,-56.100,medium,Village on Upper Suriname list,Wikipedia (Upper Suriname River),no
